--Loading Dataset--
--Finished Loading Dataset--
--Initialized Transcoder--
--Created Dataloader--
--Beginning Training--
         14709571 function calls (14634871 primitive calls) in 189.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1420    0.016    0.000    0.399    0.000 adam.py:865(adam)
    18/16    0.000    0.000    0.371    0.023 fake_impls.py:107(contains_tensor_types)
     1269    0.360    0.000    0.360    0.000 {method '__exit__' of '_io._IOBase' objects}
     1420    0.036    0.000    0.357    0.000 adam.py:534(_multi_tensor_adam)
     3156    0.005    0.000    0.346    0.000 linear.py:124(forward)
     1578    0.005    0.000    0.342    0.000 transcoders.py:45(forward)
     3156    0.339    0.000    0.339    0.000 {built-in method torch._C._nn.linear}
     1578    0.016    0.000    0.336    0.000 function.py:559(apply)
        1    0.000    0.000    0.333    0.333 _fully_shard.py:1(<module>)
        1    0.000    0.000    0.281    0.281 _fsdp_init.py:1(<module>)
        1    0.000    0.000    0.279    0.279 _fsdp_state.py:1(<module>)
     2840    0.009    0.000    0.264    0.000 connection.py:928(deliver_challenge)
        1    0.000    0.000    0.250    0.250 transcoder_datasets.py:163(create_transcoder_dataloaders)
     2840    0.008    0.000    0.233    0.000 reduction.py:186(recv_handle)
        1    0.000    0.000    0.232    0.232 _flat_param.py:1(<module>)
        1    0.000    0.000    0.229    0.229 _fsdp_extensions.py:1(<module>)
        1    0.000    0.000    0.227    0.227 _shard_utils.py:1(<module>)
     2840    0.014    0.000    0.205    0.000 reduction.py:153(recvfds)
     4420    0.013    0.000    0.196    0.000 profiler.py:770(__enter__)
     2840    0.186    0.000    0.186    0.000 {method 'recvmsg' of '_socket.socket' objects}
       25    0.000    0.000    0.186    0.007 library.py:653(wrap)
        1    0.000    0.000    0.177    0.177 _conv_ops.py:1(<module>)
   2682/9    0.001    0.000    0.170    0.019 __init__.py:73(import_module)
   2682/9    0.001    0.000    0.170    0.019 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.168    0.168 torch.py:1(<module>)
        9    0.000    0.000    0.168    0.019 __init__.py:2672(__getattr__)
        1    0.000    0.000    0.166    0.166 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.165    0.165 specialpolys.py:1(<module>)
     4420    0.023    0.000    0.162    0.000 profiler.py:776(__exit__)
     1420    0.105    0.000    0.162    0.000 transcoders.py:10(rectangle)
     1578    0.049    0.000    0.157    0.000 {built-in method apply}
     1211    0.002    0.000    0.151    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
14215/14163    0.091    0.000    0.146    0.000 {built-in method posix.write}
     1578    0.008    0.000    0.145    0.000 function.py:561(bind_default_args)
