--Loading Dataset--
--Finished Loading Dataset--
--Initialized Transcoder--
--Created Dataloader--
--Beginning Training--
         14709571 function calls (14634871 primitive calls) in 189.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.000    0.000 decorator.py:132(doctest_depends_on)
        1    0.000    0.000    0.000    0.000 error_functions.py:288(erfc)
        1    0.000    0.000    0.000    0.000 _reporting_descriptor.py:17(ReportingDescriptor)
        5    0.000    0.000    0.000    0.000 serialization.py:665(location_tag)
        1    0.000    0.000    0.000    0.000 str.py:20(StrPrinter)
        1    0.000    0.000    0.000    0.000 euclidtools.py:1(<module>)
        9    0.000    0.000    0.000    0.000 pstats.py:48(__new__)
        2    0.000    0.000    0.000    0.000 {method 'bitwise_xor' of 'torch._C.TensorBase' objects}
        5    0.000    0.000    0.000    0.000 _config_module.py:156(_read_env_variable)
        1    0.000    0.000    0.000    0.000 script_object.py:47(TorchScriptObjectVariable)
        1    0.000    0.000    0.000    0.000 boolalg.py:972(Xor)
       22    0.000    0.000    0.000    0.000 typing.py:1629(_value_and_type_iter)
      256    0.000    0.000    0.000    0.000 libintmath.py:62(python_trailing)
        1    0.000    0.000    0.000    0.000 odes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:1045(Derivative)
        1    0.000    0.000    0.000    0.000 loss.py:41(__init__)
        1    0.000    0.000    0.000    0.000 polyclasses.py:1236(DMP_Python)
       17    0.000    0.000    0.000    0.000 synchronize.py:94(__enter__)
        1    0.000    0.000    0.000    0.000 rationalfield.py:14(RationalField)
       19    0.000    0.000    0.000    0.000 overrides.py:2069(_pop_mode)
        1    0.000    0.000    0.000    0.000 codecache.py:161(CacheBase)
      193    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
        1    0.000    0.000    0.000    0.000 hints.py:32(TileHint)
        1    0.000    0.000    0.000    0.000 domainelement.py:1(<module>)
        1    0.000    0.000    0.000    0.000 autograd_cache.py:627(AOTAutogradCache)
        1    0.000    0.000    0.000    0.000 statistics.py:1236(NormalDist)
        1    0.000    0.000    0.000    0.000 guards.py:609(GuardBuilder)
        1    0.000    0.000    0.000    0.000 tempfile.py:114(_sanitize_params)
        1    0.000    0.000    0.000    0.000 utils.py:213(__init__)
        1    0.000    0.000    0.000    0.000 characteristiczero.py:1(<module>)
       24    0.000    0.000    0.000    0.000 __init__.py:1323(append)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:153(sinh)
        5    0.000    0.000    0.000    0.000 storage.py:1097(_element_size)
        2    0.000    0.000    0.000    0.000 trace_rules.py:3503(<genexpr>)
       17    0.000    0.000    0.000    0.000 {built-in method _thread.get_native_id}
        1    0.000    0.000    0.000    0.000 domain.py:18(Domain)
        5    0.000    0.000    0.000    0.000 {method 'stride' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 ctx_iv.py:153(__new__)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:76(__init__)
        1    0.000    0.000    0.000    0.000 ctx_base.py:24(StandardBaseContext)
       60    0.000    0.000    0.000    0.000 typing.py:2004(<genexpr>)
        1    0.000    0.000    0.000    0.000 approximants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(__div__)
        1    0.000    0.000    0.000    0.000 {built-in method _signal.signal}
      184    0.000    0.000    0.000    0.000 enum.py:251(__init__)
        1    0.000    0.000    0.000    0.000 differentiation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:281(Application)
        1    0.000    0.000    0.000    0.000 _fsdp_state.py:69(FSDPState)
        1    0.000    0.000    0.000    0.000 trigonometric.py:553(cos)
        1    0.000    0.000    0.000    0.000 trigonometric.py:2343(acos)
       84    0.000    0.000    0.000    0.000 tokenize.py:496(generate_tokens)
        1    0.000    0.000    0.000    0.000 riccati.py:1(<module>)
        1    0.000    0.000    0.000    0.000 trigonometric.py:2797(acot)
        1    0.000    0.000    0.000    0.000 custom_ops.py:749(register)
       21    0.000    0.000    0.000    0.000 symbolic_opset9.py:308(wrapper)
        5    0.000    0.000    0.000    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
        6    0.000    0.000    0.000    0.000 numbers.py:3598(__hash__)
        5    0.000    0.000    0.000    0.000 {method '__getstate__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 expintegrals.py:1(<module>)
        3    0.000    0.000    0.000    0.000 expr.py:220(__neg__)
        1    0.000    0.000    0.000    0.000 numbers.py:609(bell)
       57    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        2    0.000    0.000    0.000    0.000 <string>:2(__init__)
        1    0.000    0.000    0.000    0.000 _thread_flow_location.py:19(ThreadFlowLocation)
       24    0.000    0.000    0.000    0.000 six.py:194(find_spec)
        1    0.000    0.000    0.000    0.000 inequalities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:623(convert)
        1    0.000    0.000    0.000    0.000 singularities.py:1(<module>)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        1    0.000    0.000    0.000    0.000 context.py:265(DiagnosticContext)
      133    0.000    0.000    0.000    0.000 jit.py:234(__init__)
       15    0.000    0.000    0.000    0.000 pretty_symbology.py:417(<lambda>)
        8    0.000    0.000    0.000    0.000 sympify.py:78(_is_numpy_instance)
        1    0.000    0.000    0.000    0.000 timeutils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:184(_add_filter)
       32    0.000    0.000    0.000    0.000 decorators.py:202(wrapper)
       46    0.000    0.000    0.000    0.000 logic.py:92(fuzzy_bool)
        2    0.000    0.000    0.000    0.000 __init__.py:401(discover)
        1    0.000    0.000    0.000    0.000 eval_frame.py:117(Unset)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:365(cosh)
        1    0.000    0.000    0.000    0.000 trigonometric.py:915(tan)
        1    0.000    0.000    0.000    0.000 sampler.py:119(__len__)
        1    0.000    0.000    0.000    0.000 basic.py:2233(Atom)
        1    0.000    0.000    0.000    0.000 error_functions.py:482(erfi)
        1    0.000    0.000    0.000    0.000 config.py:449(default_debug_dir_root)
        1    0.000    0.000    0.000    0.000 enum.py:1691(_simple_enum)
      251    0.000    0.000    0.000    0.000 contextlib.py:443(__enter__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        2    0.000    0.000    0.000    0.000 libmpi.py:454(mpi_from_str)
        1    0.000    0.000    0.000    0.000 _limiter_utils.py:1(<module>)
        4    0.000    0.000    0.000    0.000 basic.py:147(_get_postprocessors_for_type)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:86(clear)
        1    0.000    0.000    0.000    0.000 tensor.py:1275(NumpyNdarrayVariable)
      113    0.000    0.000    0.000    0.000 {function FreezableDefaultDict.__missing__ at 0x71605eefefc0}
        2    0.000    0.000    0.000    0.000 multidimensional.py:93(__call__)
        5    0.000    0.000    0.000    0.000 utils.py:47(wrapper)
        1    0.000    0.000    0.000    0.000 codecache.py:2712(PyCodeCache)
        6    0.000    0.000    0.000    0.000 core.py:2348(_decorator)
        1    0.000    0.000    0.000    0.000 interval_membership.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sets.py:1819(EmptySet)
        1    0.000    0.000    0.000    0.000 trigonometric.py:1255(cot)
        1    0.000    0.000    0.000    0.000 bessel.py:1546(airybi)
       23    0.000    0.000    0.000    0.000 pythonmpq.py:103(_new)
       61    0.000    0.000    0.000    0.000 symbolic_helper.py:1719(_apply_params)
       11    0.000    0.000    0.000    0.000 autograd.py:28(Metadata)
       20    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._place}
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
        1    0.000    0.000    0.000    0.000 hints.py:116(AutotuneHint)
        1    0.000    0.000    0.000    0.000 synchronize.py:303(notify_all)
        1    0.000    0.000    0.000    0.000 _random.py:156(OffsetBasedRNGTracker)
        2    0.000    0.000    0.000    0.000 operations.py:613(__init__)
        2    0.000    0.000    0.000    0.000 _tensor.py:1139(__rfloordiv__)
       35    0.000    0.000    0.000    0.000 context.py:237(get_context)
       15    0.000    0.000    0.000    0.000 math.py:36(_decorator)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:1141(sech)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:34(VecISA)
        1    0.000    0.000    0.000    0.000 symbolic_convert.py:3289(InstructionTranslator)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:611(tanh)
        3    0.000    0.000    0.000    0.000 intfunc.py:162(igcd)
        1    0.000    0.000    0.000    0.000 densetools.py:1(<module>)
        3    0.000    0.000    0.000    0.000 ast.py:56(literal_eval)
       17    0.000    0.000    0.000    0.000 {built-in method time.time}
        1    0.000    0.000    0.000    0.000 utils.py:326(CompileEventLogger)
        1    0.000    0.000    0.000    0.000 triton_kernel_wrap.py:1678(TracingTritonHOPifier)
        1    0.000    0.000    0.000    0.000 reference.py:212(PythonReferenceAnalysis)
        8    0.000    0.000    0.000    0.000 ctx_iv.py:30(convert_mpf_)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:275(JvpIncrementNestingCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 point.py:42(Point)
        1    0.000    0.000    0.000    0.000 pde.py:1(<module>)
        1    0.000    0.000    0.000    0.000 filters.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 ismags.py:226(ISMAGS)
       12    0.000    0.000    0.000    0.000 distributed_c10d.py:721(WORLD)
        1    0.000    0.000    0.000    0.000 pgo.py:165(AutoDynamic)
        6    0.000    0.000    0.000    0.000 _config_module.py:790(get_tristate_env)
        6    0.000    0.000    0.000    0.000 _config_module.py:357(__setattr__)
        1    0.000    0.000    0.000    0.000 matmul.py:24(MatMul)
       18    0.000    0.000    0.000    0.000 threading.py:1236(daemon)
        1    0.000    0.000    0.000    0.000 replay_record.py:45(ExecutionRecord)
        1    0.000    0.000    0.000    0.000 trigonometric.py:3246(acsc)
        1    0.000    0.000    0.000    0.000 _address.py:12(Address)
       10    0.000    0.000    0.000    0.000 utils.py:855(clear_on_fresh_inductor_cache)
        9    0.000    0.000    0.000    0.000 types.py:192(__init__)
       17    0.000    0.000    0.000    0.000 synchronize.py:239(__exit__)
        1    0.000    0.000    0.000    0.000 torch.py:402(TorchInGraphFunctionVariable)
        1    0.000    0.000    0.000    0.000 pytree.py:1(<module>)
        4    0.000    0.000    0.000    0.000 dataloader.py:499(_index_sampler)
        1    0.000    0.000    0.000    0.000 metadata.py:82(ShardedTensorMetadata)
       24    0.000    0.000    0.000    0.000 calculus.py:4(defun)
        1    0.000    0.000    0.000    0.000 line.py:50(LinearEntity)
       23    0.000    0.000    0.000    0.000 typing.py:1097(<genexpr>)
        1    0.000    0.000    0.000    0.000 _infra.py:236(__post_init__)
        1    0.000    0.000    0.000    0.000 trigonometric.py:1692(sec)
       17    0.000    0.000    0.000    0.000 __init__.py:56(__getattr__)
        6    0.000    0.000    0.000    0.000 __init__.py:373(_FuncPtr)
        1    0.000    0.000    0.000    0.000 trigonometric.py:1800(csc)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:1572(atanh)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:1206(asinh)
       88    0.000    0.000    0.000    0.000 __init__.py:811(__init__)
       64    0.000    0.000    0.000    0.000 process.py:99(_check_closed)
        1    0.000    0.000    0.000    0.000 heaps.py:13(MinHeap)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:1384(acosh)
        8    0.000    0.000    0.000    0.000 weakref.py:289(update)
        1    0.000    0.000    0.000    0.000 hints.py:126(DeviceProperties)
        1    0.000    0.000    0.000    0.000 _region.py:16(Region)
       12    0.000    0.000    0.000    0.000 utils.py:59(parse_namespace)
        1    0.000    0.000    0.000    0.000 compiler.py:162(CUDABackend)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:1884(asech)
        1    0.000    0.000    0.000    0.000 _artifact.py:17(Artifact)
        2    0.000    0.000    0.000    0.000 __init__.py:777(find_distributions)
       16    0.000    0.000    0.000    0.000 pretty_symbology.py:169(<lambda>)
        3    0.000    0.000    0.000    0.000 numbers.py:1984(__lt__)
        1    0.000    0.000    0.000    0.000 compile_tasks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:110(remove)
        2    0.000    0.000    0.000    0.000 signal.py:36(_enum_to_int)
        2    0.000    0.000    0.000    0.000 serialization.py:214(_get_storage_alignment)
        1    0.000    0.000    0.000    0.000 quaternion.py:58(Quaternion)
        1    0.000    0.000    0.000    0.000 boolalg.py:1286(Equivalent)
        1    0.000    0.000    0.000    0.000 codecache.py:900(FxGraphCache)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:1737(acoth)
        1    0.000    0.000    0.000    0.000 wrap.py:557(_ConfigAutoWrap)
       36    0.000    0.000    0.000    0.000 threading.py:601(is_set)
        1    0.000    0.000    0.000    0.000 rules.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bessel.py:1028(yn)
        1    0.000    0.000    0.000    0.000 graph.py:71(Graph)
        1    0.000    0.000    0.000    0.000 mock.py:1297(__init__)
        5    0.000    0.000    0.000    0.000 optimizer.py:209(_get_scalar_dtype)
        1    0.000    0.000    0.000    0.000 {method 'positive' of 'torch._C.TensorBase' objects}
        2    0.000    0.000    0.000    0.000 threading.py:1485(current_thread)
        1    0.000    0.000    0.000    0.000 puiseux.py:231(PuiseuxPoly)
        1    0.000    0.000    0.000    0.000 library.py:912(register_fake)
        1    0.000    0.000    0.000    0.000 _print_helpers.py:1(<module>)
       16    0.000    0.000    0.000    0.000 typing_extensions.py:1603(_set_default)
        1    0.000    0.000    0.000    0.000 polytools.py:4542(PurePoly)
        2    0.000    0.000    0.000    0.000 ordinals.py:81(__new__)
      119    0.000    0.000    0.000    0.000 typing.py:781(<genexpr>)
        1    0.000    0.000    0.000    0.000 pycode.py:753(MpmathPrinter)
        1    0.000    0.000    0.000    0.000 trigonometric.py:2110(asin)
       84    0.000    0.000    0.000    0.000 inspect.py:1187(__init__)
        1    0.000    0.000    0.000    0.000 cache.py:28(CacheManager)
        5    0.000    0.000    0.000    0.000 typing.py:1640(__hash__)
        1    0.000    0.000    0.000    0.000 numbers.py:2955(motzkin)
        1    0.000    0.000    0.000    0.000 trigonometric.py:3015(asec)
        1    0.000    0.000    0.000    0.000 _dynamic_shapes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 heaps.py:132(PairingHeap)
        2    0.000    0.000    0.000    0.000 symbolic_opset18.py:96(_reduce_with_dtype)
        1    0.000    0.000    0.000    0.000 plot_implicit.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error_functions.py:2544(fresnelc)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:612(_set_prec)
        2    0.000    0.000    0.000    0.000 uuid.py:139(__init__)
        4    0.000    0.000    0.000    0.000 std.py:186(__format__)
       78    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 densearith.py:1(<module>)
        1    0.000    0.000    0.000    0.000 eigen_symmetric.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function.py:818(DefinedFunction)
       66    0.000    0.000    0.000    0.000 decorators.py:23(_sympifyit)
        7    0.000    0.000    0.000    0.000 std.py:231(__call__)
       49    0.000    0.000    0.000    0.000 {method 'keys' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 hyperbolic.py:824(coth)
        1    0.000    0.000    0.000    0.000 decompositions_for_rng.py:110(PhiloxStateTracker)
        1    0.000    0.000    0.000    0.000 backends.py:207(_dispatchable)
        1    0.000    0.000    0.000    0.000 multidimensional.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:189(fibonacci)
        2    0.000    0.000    0.000    0.000 kind.py:266(register)
        1    0.000    0.000    0.000    0.000 _sharding_prop.py:41(__init__)
        1    0.000    0.000    0.000    0.000 hyperbolic.py:1070(csch)
        1    0.000    0.000    0.000    0.000 repmatrix.py:23(RepMatrix)
       27    0.000    0.000    0.000    0.000 weakref.py:414(__getitem__)
        3    0.000    0.000    0.000    0.000 ast.py:477(generic_visit)
        1    0.000    0.000    0.000    0.000 ntheory.py:1(<module>)
        5    0.000    0.000    0.000    0.000 assume.py:305(__new__)
        5    0.000    0.000    0.000    0.000 _utils.py:872(_element_size)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:207(VecAMX)
        1    0.000    0.000    0.000    0.000 nx_pylab.py:1472(FancyArrowFactory)
       19    0.000    0.000    0.000    0.000 {built-in method torch._C._pop_torch_function_stack}
        1    0.000    0.000    0.000    0.000 hyperbolic.py:2080(acsch)
        2    0.000    0.000    0.000    0.000 script_object.py:34(deco)
        1    0.000    0.000    0.000    0.000 nn_module.py:802(UnspecializedNNModuleVariable)
        3    0.000    0.000    0.000    0.000 symbolic_opset9.py:1958(decorator)
        1    0.000    0.000    0.000    0.000 misc.py:1439(ConstantLikeVariable)
        1    0.000    0.000    0.000    0.000 function_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbol.py:524(Wild)
        6    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        1    0.000    0.000    0.000    0.000 domainscalar.py:17(DomainScalar)
        1    0.000    0.000    0.000    0.000 utils.py:1151(CompilationMetrics)
        2    0.000    0.000    0.000    0.000 numbers.py:408(__float__)
       41    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        6    0.000    0.000    0.000    0.000 __init__.py:14(is_available)
        1    0.000    0.000    0.000    0.000 generate.py:45(__init__)
       54    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        2    0.000    0.000    0.000    0.000 {built-in method fromtimestamp}
        9    0.000    0.000    0.000    0.000 pythonmpq.py:93(_new_check)
        1    0.000    0.000    0.000    0.000 comptime.py:323(_Comptime)
       17    0.000    0.000    0.000    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 normalforms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:21(write_uint64)
       32    0.000    0.000    0.000    0.000 util.py:44(sub_debug)
        1    0.000    0.000    0.000    0.000 logging.py:1(<module>)
        1    0.000    0.000    0.000    0.000 single.py:42(SingleODEProblem)
        1    0.000    0.000    0.000    0.000 facts.py:380(FactRules)
        1    0.000    0.000    0.000    0.000 ellipse.py:41(Ellipse)
        1    0.000    0.000    0.000    0.000 julia.py:48(JuliaCodePrinter)
        1    0.000    0.000    0.000    0.000 polyclasses.py:2448(DMF)
       15    0.000    0.000    0.000    0.000 pretty_symbology.py:235(<lambda>)
       10    0.000    0.000    0.000    0.000 gaussiandomains.py:27(new)
        2    0.000    0.000    0.000    0.000 _pytree.py:857(__post_init__)
       45    0.000    0.000    0.000    0.000 dataclasses.py:604(<genexpr>)
        3    0.000    0.000    0.000    0.000 operations.py:118(_from_args)
        1    0.000    0.000    0.000    0.000 symbolic_convert.py:961(ExceptionStack)
       22    0.000    0.000    0.000    0.000 utils.py:100(<genexpr>)
       19    0.000    0.000    0.000    0.000 overrides.py:2065(_push_mode)
     11/5    0.000    0.000    0.000    0.000 module.py:2787(named_modules)
        1    0.000    0.000    0.000    0.000 polyclasses.py:2845(ANP)
       11    0.000    0.000    0.000    0.000 _ops.py:732(_opname)
        1    0.000    0.000    0.000    0.000 _web_request.py:15(WebRequest)
        1    0.000    0.000    0.000    0.000 ratsimp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 builder.py:3096(SourcelessBuilder)
        1    0.000    0.000    0.000    0.000 _web_response.py:15(WebResponse)
        1    0.000    0.000    0.000    0.000 orthogonal.py:1(<module>)
       35    0.000    0.000    0.000    0.000 __init__.py:482(_sharded_op_impl)
        1    0.000    0.000    0.000    0.000 _notification.py:18(Notification)
        2    0.000    0.000    0.000    0.000 serialization.py:281(add_safe_globals)
       46    0.000    0.000    0.000    0.000 enum.py:1291(value)
       38    0.000    0.000    0.000    0.000 functools.py:968(__init__)
        1    0.000    0.000    0.000    0.000 user_defined.py:728(UserDefinedObjectVariable)
        2    0.000    0.000    0.000    0.000 _fsdp_state.py:58(disable_if_config_true)
        1    0.000    0.000    0.000    0.000 rref.py:1(<module>)
        1    0.000    0.000    0.000    0.000 eval_frame.py:1877(TorchPatcher)
        5    0.000    0.000    0.000    0.000 {method 'is_floating_point' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 _infra.py:50(Tag)
       14    0.000    0.000    0.000    0.000 functions.py:1300(OpaqueUnaryFn)
        1    0.000    0.000    0.000    0.000 facts.py:95(deduce_alpha_implications)
        1    0.000    0.000    0.000    0.000 extensions.py:11(ExtensionElement)
       12    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:39(_mpf)
        1    0.000    0.000    0.000    0.000 compiled_autograd.py:92(__init__)
        3    0.000    0.000    0.000    0.000 node.py:104(has_side_effect)
        1    0.000    0.000    0.000    0.000 guards.py:177(GuardManagerWrapper)
        1    0.000    0.000    0.000    0.000 _fully_shard.py:251(FSDPModule)
        8    0.000    0.000    0.000    0.000 dataloader.py:495(_auto_collation)
        1    0.000    0.000    0.000    0.000 checkpoint_wrapper.py:25(ActivationWrapper)
        1    0.000    0.000    0.000    0.000 printers.py:267(CppPrinter)
       90    0.000    0.000    0.000    0.000 enum.py:183(__init__)
        1    0.000    0.000    0.000    0.000 primetest.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cpp_builder.py:364(BuildOptionsBase)
        4    0.000    0.000    0.000    0.000 _distn_infrastructure.py:997(_get_support)
        1    0.000    0.000    0.000    0.000 bessel.py:1094(SphericalHankelBase)
        9    0.000    0.000    0.000    0.000 _config_module.py:766(__init__)
        1    0.000    0.000    0.000    0.000 single.py:646(AlmostLinear)
        1    0.000    0.000    0.000    0.000 _ordered_set.py:19(OrderedSet)
      8/4    0.000    0.000    0.000    0.000 typing.py:3312(__getattribute__)
        1    0.000    0.000    0.000    0.000 random.py:242(_randbelow_with_getrandbits)
        1    0.000    0.000    0.000    0.000 pgo.py:177(FrameStateSizeEntry)
       24    0.000    0.000    0.000    0.000 ctx_iv.py:397(make_mpf)
        1    0.000    0.000    0.000    0.000 replay_record.py:64(ExecutionRecorder)
        1    0.000    0.000    0.000    0.000 ndim_array.py:86(NDimArray)
        1    0.000    0.000    0.000    0.000 sets.py:1035(Interval)
        6    0.000    0.000    0.000    0.000 {built-in method torch.get_default_dtype}
        1    0.000    0.000    0.000    0.000 compiler.py:25(HIPOptions)
        1    0.000    0.000    0.000    0.000 piecewise.py:65(Piecewise)
        1    0.000    0.000    0.000    0.000 queues.py:35(Queue)
        1    0.000    0.000    0.000    0.000 functions.py:205(UserFunctionVariable)
        3    0.000    0.000    0.000    0.000 libmpf.py:59(prec_to_dps)
        1    0.000    0.000    0.000    0.000 symbolic_shapes.py:1630(EqualityConstraint)
       16    0.000    0.000    0.000    0.000 _collections.py:23(freeze)
        1    0.000    0.000    0.000    0.000 entity.py:71(GeometryEntity)
        1    0.000    0.000    0.000    0.000 reductions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 placement_types.py:48(Shard)
        1    0.000    0.000    0.000    0.000 synchronize.py:277(notify)
        1    0.000    0.000    0.000    0.000 _data_parallel_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transcoders.py:52(set_transcoder_weights)
       16    0.000    0.000    0.000    0.000 ctx_mp_python.py:597(make_mpf)
        1    0.000    0.000    0.000    0.000 symbolic_shapes.py:2361(DimConstraints)
        1    0.000    0.000    0.000    0.000 convolutions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 matrices.py:9(_matrix)
       24    0.000    0.000    0.000    0.000 typing_extensions.py:2877(__init__)
        1    0.000    0.000    0.000    0.000 mutation_guard.py:76(GenerationTracker)
        1    0.000    0.000    0.000    0.000 matadd.py:19(MatAdd)
       20    0.000    0.000    0.000    0.000 decorator.py:251(deprecated)
       24    0.000    0.000    0.000    0.000 <frozen posixpath>:131(splitdrive)
        1    0.000    0.000    0.000    0.000 resume_execution.py:271(ContinueExecutionCache)
        1    0.000    0.000    0.000    0.000 digraph.py:88(DiGraph)
        1    0.000    0.000    0.000    0.000 utils.py:4406(CompileTimeInstructionCounter)
       14    0.000    0.000    0.000    0.000 decorators.py:264(np_random_state)
       32    0.000    0.000    0.000    0.000 {method 'removesuffix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 boolalg.py:68(Boolean)
        1    0.000    0.000    0.000    0.000 _version_control_details.py:15(VersionControlDetails)
       12    0.000    0.000    0.000    0.000 domain.py:403(convert)
        1    0.000    0.000    0.000    0.000 _functools.py:14(cache_method)
        1    0.000    0.000    0.000    0.000 _translation_metadata.py:15(TranslationMetadata)
      8/2    0.000    0.000    0.000    0.000 densebasic.py:315(_rec_validate)
        1    0.000    0.000    0.000    0.000 compiler.py:119(CUDAOptions)
       16    0.000    0.000    0.000    0.000 jit.py:223(_normalize_ty)
        1    0.000    0.000    0.000    0.000 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pythonrational.py:1(<module>)
        3    0.000    0.000    0.000    0.000 numbers.py:1397(from_coprime_ints)
        1    0.000    0.000    0.000    0.000 _result_provenance.py:15(ResultProvenance)
        1    0.000    0.000    0.000    0.000 _logical_location.py:12(LogicalLocation)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:145(__float__)
        1    0.000    0.000    0.000    0.000 sqfreetools.py:1(<module>)
        4    0.000    0.000    0.000    0.000 std.py:153(__init__)
        1    0.000    0.000    0.000    0.000 mock.py:1385(decorate_callable)
        1    0.000    0.000    0.000    0.000 modularinteger.py:15(ModularInteger)
       26    0.000    0.000    0.000    0.000 recording.py:228(record_shapeenv_event)
        1    0.000    0.000    0.000    0.000 external_utils.py:153(FakeCompiledAutogradEngine)
        2    0.000    0.000    0.000    0.000 matexpr.py:81(__new__)
        1    0.000    0.000    0.000    0.000 _fsdp_extensions.py:16(FSDPExtensions)
       19    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        1    0.000    0.000    0.000    0.000 higher_order_ops.py:1045(WhileLoopHigherOrderVariable)
       14    0.000    0.000    0.000    0.000 libelefun.py:85(constant_memo)
        1    0.000    0.000    0.000    0.000 code_generator.py:148(ContainsReturnChecker)
        7    0.000    0.000    0.000    0.000 _sharding_prop.py:82(register_sharding_prop_rule)
        2    0.000    0.000    0.000    0.000 cache.py:123(_getenv)
        1    0.000    0.000    0.000    0.000 pathlib.py:420(_from_parsed_parts)
        1    0.000    0.000    0.000    0.000 style.py:44(ColwiseParallel)
        1    0.000    0.000    0.000    0.000 user_defined.py:699(UserDefinedExceptionClassVariable)
        1    0.000    0.000    0.000    0.000 builder.py:541(_id_dispatch)
        1    0.000    0.000    0.000    0.000 _graph_traversal.py:16(GraphTraversal)
        1    0.000    0.000    0.000    0.000 higher_order_ops.py:822(CondHigherOrderVariable)
        4    0.000    0.000    0.000    0.000 _function_base_impl.py:358(iterable)
        1    0.000    0.000    0.000    0.000 formal.py:968(FormalPowerSeries)
        1    0.000    0.000    0.000    0.000 __init__.py:798(invalidate_caches)
        1    0.000    0.000    0.000    0.000 stringpict.py:22(stringPict)
        4    0.000    0.000    0.000    0.000 gaussiandomains.py:56(__neg__)
       32    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 printers.py:119(PythonPrinter)
        1    0.000    0.000    0.000    0.000 synchronize.py:46(SemLock)
       24    0.000    0.000    0.000    0.000 __init__.py:1317(__init__)
        1    0.000    0.000    0.000    0.000 approximation.py:1(<module>)
